Generic code,IC50,new IC50 [CI95%] (uM)
mPP-0375,9.125,9.125  [  7.138  -  11.455  ]
mPP-0395,13.829,13.829  [  12.687  -  15.03  ]
mPP-0397,16.821,16.821  [  14.457  -  19.509  ]
mPP-0398,17.155,17.155  [  8.272  -  28.61  ]
mPP-0383,22.596,22.596  [  18.881  -  26.253  ]
mPP-0385,30.992,30.992  [  28.883  -  33.107  ]
mPP-0362,44.554,44.554  [  42.006  -  47.19  ]
mPP-0394,54.481,54.481  [  51.059  -  58.087  ]
mPP-0384,57.959,57.959  [  55.716  -  60.334  ]
mPP-0392,72.059,72.059  [  61.334  -  85.284  ]
mPP-0381,75.359,75.359  [  71.5  -  79.321  ]
mPP-0370,92.715,92.715  [  68.095  -  126.12  ]
mPP-0388,108.468,108.468  [  96.818  -  120.657  ]
mPP-0400,134.575,134.575  [  118.397  -  153.101  ]
mPP-0393,152.091,152.091  [  129.536  -  179.845  ]
mPP-0399,176.096,176.096  [  139.837  -  223.446  ]
mPP-0344,330.111,330.111  [  241.601  -  463.8  ]
mPP-0389,1351.234,1351.234  [  453.937  -  8190.578  ]
mPP-0353,1700.645,1700.645  [  791.798  -  4860.73  ]
mPP-0340,2301.755,2301.755  [  1487.96  -  3657.855  ]
mPP-0387,2675.131,2675.131  [  262.452  -  87885.097  ]
mPP-0401,3658.678,3658.678  [  2346.605  -  5675.845  ]
mPP-0339,,NA  [  NA  -  NA  ]
mPP-0342,,NA  [  NA  -  NA  ]
mPP-0343,,NA  [  NA  -  NA  ]
mPP-0345,,NA  [  NA  -  NA  ]
mPP-0349,,NA  [  NA  -  NA  ]
mPP-0346,,NA  [  NA  -  NA  ]
mPP-0354,,NA  [  NA  -  NA  ]
mPP-0356,,NA  [  NA  -  NA  ]
mPP-0347,,NA  [  NA  -  NA  ]
mPP-0355,,NA  [  NA  -  NA  ]
mPP-0357,,NA  [  NA  -  NA  ]
mPP-0358,,NA  [  NA  -  NA  ]
mPP-0360,,NA  [  NA  -  NA  ]
mPP-0361,,NA  [  NA  -  NA  ]
mPP-0359,,NA  [  NA  -  NA  ]
mPP-0362,,NA  [  NA  -  NA  ]
mPP-0363,,NA  [  NA  -  NA  ]
mPP-0365,,NA  [  NA  -  NA  ]
mPP-0366,,NA  [  NA  -  NA  ]
mPP-0364,,NA  [  NA  -  NA  ]
mPP-0367,,NA  [  NA  -  NA  ]
mPP-0368,,NA  [  NA  -  NA  ]
mPP-0371,,NA  [  NA  -  NA  ]
mPP-0369,,NA  [  NA  -  NA  ]
mPP-0372,,NA  [  NA  -  NA  ]
mPP-0374,,NA  [  NA  -  NA  ]
mPP-0373,,NA  [  NA  -  NA  ]
mPP-0376,,NA  [  NA  -  NA  ]
mPP-0377,,NA  [  NA  -  NA  ]
mPP-0379,,NA  [  NA  -  NA  ]
mPP-0380,,NA  [  NA  -  NA  ]
mPP-0378,,NA  [  NA  -  NA  ]
mPP-0382,,NA  [  NA  -  NA  ]
mPP-0386,,NA  [  NA  -  NA  ]
mPP-0390,,NA  [  NA  -  NA  ]
mPP-0391,,NA  [  NA  -  NA  ]
mPP-0396,,NA  [  NA  -  NA  ]
mPP-0402,,NA  [  NA  -  NA  ]
mPP-0404,,NA  [  NA  -  NA  ]
mPP-0405,,NA  [  NA  -  NA  ]
mPP-0403,,NA  [  NA  -  NA  ]
